Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
ME 422,"Heating, Ventilation and Air Conditioning",3,36503,LCD,ARRANGED,0,"Ryan, W",On Campus,Spring,2015,N/A,0
ME 422,"Heating, Ventilation and Air Conditioning",3,36505,LCD,ARRANGED,0,"Ryan, W",On Campus,Spring,2015,N/A,0
ME 426,Applied Combustion,3,31455,LCD,02:00 PM - 03:15 PM,2,"Aggarwal, S",On Campus,Spring,2015,Afternoon,75
ME 426,Applied Combustion,3,31903,LCD,02:00 PM - 03:15 PM,2,"Aggarwal, S",On Campus,Spring,2015,Afternoon,75
ME 428,Numerical Methods in Mechanical Engineering,3,15824,LCD,03:00 PM - 03:50 PM,3,"Minkowycz, W",On Campus,Spring,2015,Afternoon,50
ME 428,Numerical Methods in Mechanical Engineering,3,19337,LCD,03:00 PM - 03:50 PM,3,"Minkowycz, W",On Campus,Spring,2015,Afternoon,50
ME 445,Interdisciplinary Product Development 2,4,31457,LCD,ARRANGED,0,"Scott, M",On Campus,Spring,2015,N/A,0
ME 447,Computer-Aided Design,0,15828,LEC,02:00 PM - 02:50 PM,2,"Amirouche, F",On Campus,Spring,2015,Afternoon,50
ME 447,Computer-Aided Design,0,19578,LEC,02:00 PM - 02:50 PM,2,"Amirouche, F",On Campus,Spring,2015,Afternoon,50
ME 449,Microdevices and Micromachining Technology,0,19209,LCD,09:30 AM - 10:45 AM,2,"Paprotny, I",On Campus,Spring,2015,Morning,75
ME 449,Microdevices and Micromachining Technology,0,23636,LCD,09:30 AM - 10:45 AM,2,"Paprotny, I",On Campus,Spring,2015,Morning,75
ME 450,Air Pollution Engineering,3,30901,LCD,06:00 PM - 08:30 PM,1,"Manafzadeh, S",On Campus,Spring,2015,Evening,150
ME 450,Air Pollution Engineering,3,34696,LCD,06:00 PM - 08:30 PM,1,"Manafzadeh, S",On Campus,Spring,2015,Evening,150
ME 494,Special Topics in Mechanical Engineering,3,32346,LCD,11:00 AM - 11:50 AM,3,"Abiade, J",On Campus,Spring,2015,Morning,50
ME 494,Special Topics in Mechanical Engineering,3,32347,LCD,11:00 AM - 11:50 AM,3,"Abiade, J",On Campus,Spring,2015,Morning,50
ME 499,Professional Development Seminar,0,27063,LCD,ARRANGED,0,"Manafzadeh, S",On Campus,Spring,2015,N/A,0
ME 502,Applied Stress Analysis II,4,31458,LCD,02:00 PM - 03:15 PM,2,"Brown, M",On Campus,Spring,2015,Afternoon,75
ME 511,Mechatronics II,4,19582,LEC,05:30 PM - 06:45 PM,2,"Cetinkunt, S",On Campus,Spring,2015,Evening,75
ME 518,Fundamentals of Turbulence,4,31459,LCD,03:30 PM - 04:45 PM,2,"Yarin, A",On Campus,Spring,2015,Afternoon,75
ME 522,Convective Heat Transfer,4,31460,LCD,04:00 PM - 06:30 PM,1,"Manafzadeh, S",On Campus,Spring,2015,Afternoon,150
ME 541,Microelectronic Fabrication Techniques,4,22184,LCD,04:00 PM - 05:15 PM,2,"Yang, Z",On Campus,Spring,2015,Afternoon,75
ME 594,Current Topics in Mechanical Engineering,4,15844,LCD,09:30 AM - 10:45 AM,2,"Megaridis, C",On Campus,Spring,2015,Morning,75
ME 594,Current Topics in Mechanical Engineering,4,33580,LCD,12:30 PM - 01:45 PM,2,"Berniker, M",On Campus,Spring,2015,Afternoon,75
ME 205,Introduction to Thermodynamics,3,14491,LCD,01:30 PM - 04:00 PM,2,"Salehi-Khojin, A",On Campus,Summer,2015,Afternoon,150
ME 210,Engineering Dynamics,3,14492,LCD,01:30 PM - 04:00 PM,2,"Lilley, C",On Campus,Summer,2015,Afternoon,150
ME 428,Numerical Methods in Mechanical Engineering,3,14496,LCD,10:00 AM - 12:30 PM,2,"Manafzadeh, S",On Campus,Summer,2015,Morning,150
ME 428,Numerical Methods in Mechanical Engineering,3,14763,LCD,10:00 AM - 12:30 PM,2,"Manafzadeh, S",On Campus,Summer,2015,Morning,150
ME 205,Introduction to Thermodynamics,3,12405,LCD,03:00 PM - 03:50 PM,3,"Minkowycz, W",On Campus,Fall,2015,Afternoon,50
ME 205,Introduction to Thermodynamics,3,38920,LCD,05:00 PM - 05:50 PM,3,"Siow, Y",On Campus,Fall,2015,Evening,50
ME 210,Engineering Dynamics,3,12407,LCD,12:00 PM - 12:50 PM,3,"Lilley, C",On Campus,Fall,2015,Afternoon,50
ME 211,Fluid Mechanics I,4,12429,LCD,03:00 PM - 03:50 PM,3,"Megaridis, C",On Campus,Fall,2015,Afternoon,50
