YEAR,SEMESTER,CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,DFR,I,NR,S,U,W,Primary Instructor,Grade Regs
2021,Spring,CS,478,Development of Mobile Apps,2699,Computer Science,35,26,5,6,0,0,0,0,0,0,0,"Buy, Ugo A",72
2021,Spring,CS,478,Development of Mobile Apps,2699,Computer Science,23,6,3,18,2,0,0,0,0,0,2,"Hallenbeck, Mark",54
2021,Spring,CS,480,Database Systems,2699,Computer Science,35,10,3,5,0,0,0,0,0,0,0,"Asudeh, Abolfazl",53
2021,Spring,CS,480,Database Systems,2699,Computer Science,29,18,2,9,1,0,0,0,0,0,0,"Deitz, Sean M",59
2021,Spring,CS,480,Database Systems,2699,Computer Science,25,16,3,11,0,0,0,0,0,0,0,"Sistla, Aravinda Prasad",55
2021,Spring,CS,485,Net Operat Syst Progr,2699,Computer Science,4,1,2,1,2,0,0,0,0,0,0,"Solworth, Jon A",10
2021,Spring,CS,494,Princ. of Concurrent Program.,2699,Computer Science,13,5,0,4,1,0,0,0,0,0,0,"Ganchinho de Pina, Luis Gabriel",23
2021,Spring,CS,494,Safe & Eff. Sys. Prog. in Rust,2699,Computer Science,5,6,0,5,2,0,0,0,0,0,4,"Eriksson, Jakob L",22
2021,Spring,CS,494,Wearable Technologies,2699,Computer Science,13,13,1,2,0,0,0,0,0,0,0,"Esmailbeigi, Hananeh",29
2021,Spring,CS,506,Intro to Quantum Computing,2699,Computer Science,34,0,0,0,0,0,0,0,0,0,0,"DasGupta, Bhaskar",34
2021,Spring,CS,511,Artificial Intelligence II,2699,Computer Science,14,0,0,0,0,0,0,0,0,0,0,"Gmytrasiewicz, Piotr",14
2021,Spring,CS,521,Stat Natural Lang Processing,2699,Computer Science,31,1,1,1,0,0,0,0,0,0,0,"Parde, Natalie",34
2021,Spring,CS,540,Adv Topics in Softwr Engr,2699,Computer Science,18,4,0,0,0,0,0,0,0,0,0,"Grechanik, Mark",22
2021,Spring,CS,581,Database Management Systms,2699,Computer Science,16,5,0,0,0,0,0,0,0,0,0,"Sistla, Aravinda Prasad",21
2021,Spring,CS,582,Information Retrieval,2699,Computer Science,30,3,0,0,0,0,0,0,0,0,0,"Caragea, Cornelia Alexandra",33
