Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
CS 590,Research Methods in Computer Science,4,45284,LCD,04:30 PM - 05:45 PM,2,"Di Eugenio, B",Meet on campus,Fall,2022,Afternoon,75
CS 594,Special Topics,4,43915,LCD,09:30 AM - 10:45 AM,2,"Ziebart, B",Meet on campus,Fall,2022,Morning,75
CS 594,Special Topics,4,27441,LCD,11:00 AM - 12:15 PM,2,"Cheng, L",Meet on campus,Fall,2022,Morning,75
CS 594,Special Topics,4,29095,LCD,03:00 PM - 04:15 PM,2,"Rooshenas, P",Meet on campus,Fall,2022,Afternoon,75
CS 107,Introduction to Computing and Programming,4,17412,LEC - AL1,09:00 AM - 09:50 AM,3,"Reckinger, S",Meet on campus,Spring,2023,Morning,50
CS 109,Programming for Engineers with MatLab,3,44905,LCD - AS,03:00 PM - 03:50 PM,2,"Grechanik, M",Meet on campus,Spring,2023,Afternoon,50
CS 109,Programming for Engineers with MatLab,3,44904,LCD - AS2,01:00 PM - 01:50 PM,2,"Grechanik, M",Meet on campus,Spring,2023,Afternoon,50
CS 111,Program Design I,3,34013,LCD - AS1,12:00 PM - 12:50 PM,3,"Reckinger, S",Meet on campus,Spring,2023,Afternoon,50
CS 111,Program Design I,3,40575,LCD - AS2,01:00 PM - 01:50 PM,3,"Reckinger, S",Meet on campus,Spring,2023,Afternoon,50
CS 141,Program Design II,3,34447,LCD - AS1,09:00 AM - 09:50 AM,3,"Hayes, D",Meet on campus,Spring,2023,Morning,50
CS 141,Program Design II,3,41547,LCD - BS,01:00 PM - 01:50 PM,3,"Maratos, G",Meet on campus,Spring,2023,Afternoon,50
CS 151,Mathematical Foundations of Computing,3,34014,LEC - AL1,12:00 PM - 12:50 PM,3,"Sidiropoulos, A",Meet on campus,Spring,2023,Afternoon,50
CS 151,Mathematical Foundations of Computing,3,40572,LEC - AL2,01:00 PM - 01:50 PM,3,"McCarty, E",Meet on campus,Spring,2023,Afternoon,50
CS 151,Mathematical Foundations of Computing,3,41548,LEC - AL3,02:00 PM - 02:50 PM,3,"McCarty, E",Meet on campus,Spring,2023,Afternoon,50
CS 151,Mathematical Foundations of Computing,3,46081,LEC - AL4,03:00 PM - 03:50 PM,3,"McCarty, E",Meet on campus,Spring,2023,Afternoon,50
CS 211,Programming Practicum,2,34456,LCD - AS1,10:00 AM - 10:50 AM,1,"Kidane, E",Meet on campus,Spring,2023,Morning,50
CS 211,Programming Practicum,2,44906,LCD - AS2,12:00 PM - 12:50 PM,1,"Kidane, E",Meet on campus,Spring,2023,Afternoon,50
CS 211,Programming Practicum,2,44907,LCD - AS3,01:00 PM - 01:50 PM,1,"Kidane, E",Meet on campus,Spring,2023,Afternoon,50
CS 251,Data Structures,4,34460,LCD - AS1,09:00 AM - 09:50 AM,3,"Koehler, A",Meet on campus,Spring,2023,Morning,50
CS 251,Data Structures,4,40573,LCD - AS2,10:00 AM - 10:50 AM,3,"Koehler, A",Meet on campus,Spring,2023,Morning,50
CS 251,Data Structures,4,41549,LCD - AS3,01:00 PM - 01:50 PM,3,"Koehler, A",Meet on campus,Spring,2023,Afternoon,50
CS 261,Machine Organization,3,34463,LCD - AS1,09:30 AM - 10:45 AM,2,"Theys, M",Meet on campus,Spring,2023,Morning,75
CS 261,Machine Organization,3,41550,LCD - AS2,12:30 PM - 01:45 PM,2,"Theys, M",Meet on campus,Spring,2023,Afternoon,75
CS 294,Special Topics in Computer Science,3,43541,LCD,06:00 PM - 08:00 PM,1,"Cranch, C",Meet on campus,Spring,2023,Evening,120
CS 301,Languages and Automata,3,17422,LEC - AL1,12:30 PM - 01:45 PM,2,"Bello Lander, G",Meet on campus,Spring,2023,Afternoon,75
CS 301,Languages and Automata,3,40574,LEC - AL2,11:00 AM - 12:15 PM,2,"Bello Lander, G",Meet on campus,Spring,2023,Morning,75
CS 301,Languages and Automata,3,44908,LEC - AL3,03:30 PM - 04:45 PM,2,"Bello Lander, G",Meet on campus,Spring,2023,Afternoon,75
CS 341,Programming Language Design and Implementation,3,34723,LCD,12:00 PM - 12:50 PM,3,"Troy, P",Meet on campus,Spring,2023,Afternoon,50
CS 342,Software Design,3,41553,LCD,ARRANGED,0,"Hallenbeck, M",Online with deadlines,Spring,2023,N/A,0
CS 342,Software Design,3,35976,LCD,11:00 AM - 12:15 PM,2,"Hallenbeck, M",Meet on campus,Spring,2023,Morning,75
CS 351,Advanced Data Structure Practicum,3,46812,LCD,02:00 PM - 02:50 PM,3,"Troy, P",Meet on campus,Spring,2023,Afternoon,50
CS 361,Systems Programming,3,36306,LCD - AS1,03:30 PM - 04:45 PM,2,"Ganchinho de Pina, L",Meet on campus,Spring,2023,Afternoon,75
CS 362,Computer Design,3,36309,LCD - AS1,02:00 PM - 03:15 PM,2,"Diaz Herrera, D",Meet on campus,Spring,2023,Afternoon,75
CS 377,Communication and Ethical Issues in Computing,3,39374,LCD - AS1,01:00 PM - 01:50 PM,2,"Burton, E",Meet on campus,Spring,2023,Afternoon,50
CS 377,Communication and Ethical Issues in Computing,3,40663,LCD - AS2,02:00 PM - 02:50 PM,2,"Burton, E",Meet on campus,Spring,2023,Afternoon,50
